#小鹤音形文本码表for PC搜狗拼音自定义短语
#用户许可协议：
#1.何海峰为“小鹤双拼、小鹤音形”输入方案的作者。
#2.本码表受著作权保护，只限您私人使用，不得修改和发布。
#3.未经授权，不得将本码表用于商业用途。
#著作权人：何海峰
#官方网站：flypy.com   QQ群：182883808
#本表贴入搜狗拼音自定义短语使用

oa,1=！
ob,1=%
oba,1=一
obl,1=丨
obp,1=丿
obd,1=丶
obv,1=乛
obn,1=乀
oba,2=鱼
obb,1=冖
obb,2=宀
obb,3=丷
obb,4=疒
obb,5=勹
obb,6=比左部
obc,1=艹
obc,2=廾
obd,2=冫
obd,3=氵
obd,4=⺈
obd,5=刂
obe,1=阝
obe,2=卩
obe,3=彐
obe,4=山
obe,5=见下部
obf,1=扌
obf,2=寿带上部
obf,3=龶
obf,4=缶
obg,1=既左部
obg,2=艮
obg,3=鬼
obg,4=革
obg,5=骨
obh,1=灬
obh,2=虍
obh,3=黑
obh,4=余下部
obi,1=彳
obi,2=亍
obi,3=虫
obj,1=钅
obj,2=金
obj,3=龹
obk,1=匚
obk,2=冂
obk,3=凵
obk,4=囗
obk,5=㠯
obl,2=耂
obl,3=立
obl,4=龙
obm,1=朩
obn,2=⺧
obn,3=牜
obo,1=日
obo,2=月
obo,3=目
obp,2=礻
obp,3=衤
obq,1=犭
obq,2=求
obq,3=具其上部
obr,1=亻
obs,1=纟
obs,2=厶
obs,3=龴
obs,4=罒
obt,1=田
obu,1=饣
obu,2=龵
obu,3=𠂇
obu,4=氺
obu,5=石
obv,2=⺮
obv,3=豸
obw,1=亠
obw,2=夂
obw,3=攵
obw,4=文
obx,1=忄
obx,2=乂
obx,3=⺍
obx,4=⺌
obx,5=⺗
oby,1=讠
oby,2=⺷
oby,3=⺶
oby,4=𧘇
oby,5=羊
obz,1=⻊
obz,2=廴
obz,3=辶
oc,1=”
od,1=、
oh,1=（
oj,1=）
ok,1=《
ol,1=》
on,1=〔
om,1=〕
of,1=→
ofb,1=标点d
ofbd,1=“”
ofbd,2=（）
ofbd,3=《》
ofbd,4=〈〉
ofbd,5=〔〕
ofbd,6=‘’
ofbd,7=「」
ofbd,8=『』
ofbd,9=【】
ofbd,10=〖〗
ofbd,11=［］
ofbd,12=｛｝
ofbd,13=．
ofbd,14=。
ofbd,15=，
ofbd,16=、
ofbd,17=；
ofbd,18=：
ofbd,19=？
ofbd,20=！
ofbd,21=…
ofbd,22=—
ofbd,23=·
ofbd,24=ˉ
ofbd,25=ˇ
ofbd,26=¨
ofbd,27=々
ofbd,28=～
ofbd,29=‖
ofbd,30=∶
ofbd,31=＂
ofbd,32=｀
ofbd,33=｜
ofd,1=点数u
ofdu,1=⒈
ofdu,2=⒉
ofdu,3=⒊
ofdu,4=⒋
ofdu,5=⒌
ofdu,6=⒍
ofdu,7=⒎
ofdu,8=⒏
ofdu,9=⒐
ofdu,10=⒑
ofdu,11=⒒
ofdu,12=⒓
ofdu,13=⒔
ofdu,14=⒕
ofdu,15=⒖
ofdu,16=⒗
ofdu,17=⒘
ofdu,18=⒙
ofdu,19=⒚
ofdu,20=⒛
ofd,2=单位w
ofdw,1=㎎
ofdw,2=㎏
ofdw,3=㎜
ofdw,4=㎝
ofdw,5=㎞
ofdw,6=㎡
ofdw,7=nm
ofdw,8=μm
ofdw,9=μg
ofdw,10=㏄
ofdw,11=㏎
ofdw,12=㏑
ofdw,13=㏒
ofdw,14=㏕
ofe,1=俄大d
ofed,1=А
ofed,2=Б
ofed,3=В
ofed,4=Г
ofed,5=Д
ofed,6=Е
ofed,7=Ж
ofed,8=З
ofed,9=И
ofed,10=Й
ofed,11=К
ofed,12=Л
ofed,13=М
ofed,14=Н
ofed,15=О
ofed,16=П
ofed,17=Р
ofed,18=С
ofed,19=Т
ofed,20=У
ofed,21=Ф
ofed,22=Х
ofed,23=Ц
ofed,24=Ч
ofed,25=Ш
ofed,26=Щ
ofed,27=Ъ
ofed,28=Ы
ofed,29=Ь
ofed,30=Э
ofed,31=Ю
ofed,32=Я
ofed,33=Ё
ofe,2=俄小x
ofex,1=а
ofex,2=б
ofex,3=в
ofex,4=г
ofex,5=д
ofex,6=е
ofex,7=ж
ofex,8=з
ofex,9=и
ofex,10=й
ofex,11=к
ofex,12=л
ofex,13=м
ofex,14=н
ofex,15=о
ofex,16=п
ofex,17=р
ofex,18=с
ofex,19=т
ofex,20=у
ofex,21=ф
ofex,22=х
ofex,23=ц
ofex,24=ч
ofex,25=ш
ofex,26=щ
ofex,27=ъ
ofex,28=ы
ofex,29=ь
ofex,30=э
ofex,31=ю
ofex,32=я
ofex,33=ё
ofk,1=括数
ofku,1=⑴
ofku,2=⑵
ofku,3=⑶
ofku,4=⑷
ofku,5=⑸
ofku,6=⑹
ofku,7=⑺
ofku,8=⑻
ofku,9=⑼
ofku,10=⑽
ofku,11=⑾
ofku,12=⑿
ofku,13=⒀
ofku,14=⒁
ofku,15=⒂
ofku,16=⒃
ofku,17=⒄
ofku,18=⒅
ofku,19=⒆
ofku,20=⒇
ofh,1=货币b
ofhb,1=€
ofhb,2=$
ofhb,3=￠
ofhb,4=£
ofhb,5=￡
ofhb,6=¥
ofhb,7=￥
ofhb,8=฿
ofht,1=═
ofht,2=║
ofht,3=╧
ofht,4=╪
ofht,5=╤
ofht,6=╡
ofht,7=╞
ofht,8=▁
ofht,9=╕
ofht,10=╒
ofht,11=╛
ofht,12=╘
ofr,1=日大d
ofrd,1=ァ
ofrd,2=ア
ofrd,3=ィ
ofrd,4=イ
ofrd,5=ゥ
ofrd,6=ウ
ofrd,7=ェ
ofrd,8=エ
ofrd,9=ォ
ofrd,10=オ
ofrd,11=カ
ofrd,12=ガ
ofrd,13=キ
ofrd,14=ギ
ofrd,15=ク
ofrd,16=グ
ofrd,17=ケ
ofrd,18=ゲ
ofrd,19=コ
ofrd,20=ゴ
ofrd,21=サ
ofrd,22=ザ
ofrd,23=シ
ofrd,24=ジ
ofrd,25=ス
ofrd,26=ズ
ofrd,27=セ
ofrd,28=ゼ
ofrd,29=ソ
ofrd,30=ゾ
ofrd,31=タ
ofrd,32=ダ
ofrd,33=チ
ofrd,34=ヂ
ofrd,35=ッ
ofrd,36=ツ
ofrd,37=ヅ
ofrd,38=テ
ofrd,39=デ
ofrd,40=ト
ofrd,41=ド
ofrd,42=ナ
ofrd,43=ニ
ofrd,44=ヌ
ofrd,45=ネ
ofrd,46=ノ
ofrd,47=ハ
ofrd,48=バ
